code,tier,status,batch_date
PATIENCE-4D50-E5A6-A575,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-627B-E2AD-BE66,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-1CF5-F53D-60A2,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-358C-3905-F20A,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-17B1-781A-54DE,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-CC82-4B8A-5492,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-4DF5-FFC4-AABF,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-5B8C-28B3-8F60,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-1552-8831-F940,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-BD37-131B-AEB4,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-0304-3B6D-6EDE,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-9B55-E6A4-9C53,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-C4ED-ECF4-03FD,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-2264-9ECE-2BA2,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-3EAB-73A4-C12D,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-2753-CCE4-FB79,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-F2B9-ED60-20D9,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-D705-881A-A82E,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-77C5-04E6-01A3,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-417E-4E82-BDCC,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-E5BC-D1A7-87BD,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-BE54-0BAD-97CF,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-924D-43AB-FBA9,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-F1F5-7D4C-35DD,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-7A84-4CBF-8DE8,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-6B9D-ECDC-2970,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-19EB-4D19-FC27,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-4021-F216-6801,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-7B54-E8F0-A5BC,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-D200-B266-E396,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-0B35-00B3-F5AA,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-2054-6F87-0054,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-E3B8-8F3D-2EC5,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-41EB-65FF-68BC,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-F378-00B6-92D1,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-175D-9803-26DA,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-6CB7-699E-3F19,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-D165-C5B2-D1D9,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-35C1-D5CF-0FB6,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-868C-2E58-D0A4,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-91D6-9E46-1602,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-F6DC-0F52-52C6,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-4F61-84AD-B797,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-8322-06DB-D2F9,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-3EF3-3242-677D,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-D8CA-4579-46E6,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-B849-4A9B-6877,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-F67C-A39B-978C,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-0627-A32E-F7D1,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-576C-A5CB-EDAF,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-301D-C676-58C4,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-87D9-4A98-1064,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-880F-1AC8-A8D0,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-98B1-C0EA-1F66,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-2376-5634-9356,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-82E3-B2F9-A59E,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-4F7A-C5E7-F1F5,LIFETIME,AVAILABLE,2026-06-24
